Time,S&P500
11/30/18,2738.31
12/1/18,2755.45
12/2/18,2813.89
12/3/18,2806.83
12/4/18,2781.01
12/5/18,2726.22
12/6/18,2722.18
12/7/18,2701.58
12/8/18,2730.2
12/9/18,2736.27
12/10/18,2690.73
12/11/18,2641.89
12/12/18,2649.93
12/13/18,2649.93
12/14/18,2649.93
12/15/18,2632.56
12/16/18,2673.45
12/17/18,2682.17
12/18/18,2743.79
12/19/18,2737.76
12/20/18,2760.17
12/21/18,2790.37
12/22/18,2700.06
12/23/18,2700.06
12/24/18,2700.06
12/25/18,2695.95
12/26/18,2633.08
12/27/18,2637.72
12/28/18,2636.78
12/29/18,2651.07
12/30/18,2650.54
12/31/18,2599.95
1/1/19,2545.94
1/2/19,2546.16
1/3/19,2506.96
1/4/19,2467.42
1/5/19,2416.62
1/6/19,2351.1
1/7/19,2695.95
1/8/19,2633.08
1/9/19,2637.72
1/10/19,2636.78
1/11/19,2651.07
1/12/19,2650.54
1/13/19,2599.95
1/14/19,2545.94
1/15/19,2546.16
1/16/19,2506.96
1/17/19,2467.42
1/18/19,2416.62
1/19/19,2351.1
1/20/19,2510.03
1/21/19,2447.89
1/22/19,2531.94
1/23/19,2549.69
1/24/19,2574.41
1/25/19,2584.96
1/26/19,2596.64
1/27/19,2596.26
1/28/19,2582.61
1/29/19,2610.3
1/30/19,2616.1
1/31/19,2635.96
2/1/19,2670.71
2/2/19,2510.03
2/3/19,2447.89
2/4/19,2531.94
2/5/19,2549.69
2/6/19,2574.41
2/7/19,2584.96
2/8/19,2596.64
2/9/19,2596.26
2/10/19,2582.61
2/11/19,2610.3
2/12/19,2616.1
2/13/19,2635.96
2/14/19,2670.71
2/15/19,2610.3
2/16/19,2616.1
2/17/19,2635.96
2/18/19,2670.71
2/19/19,2670.71
2/20/19,2670.71
2/21/19,2416.62
2/22/19,2416.62
2/23/19,2416.62
2/24/19,2351.1
2/25/19,2351.1
2/26/19,2467.7
2/27/19,2488.83
2/28/19,2485.74
3/1/19,2803.69
3/2/19,2803.69
3/3/19,2803.69
3/4/19,2792.81
3/5/19,2789.65
3/6/19,2771.45
3/7/19,2748.93
3/8/19,2743.07
3/9/19,2743.07
3/10/19,2743.07
3/11/19,2783.3
3/12/19,2791.52
3/13/19,2810.92
3/14/19,2808.48
3/15/19,2822.48
3/16/19,2822.48
3/17/19,2822.48
3/18/19,2832.94
3/19/19,2832.57
3/20/19,2824.23
3/21/19,2854.88
3/22/19,2800.71
3/23/19,2800.71
3/24/19,2800.71
3/25/19,2798.36
3/26/19,2818.46
3/27/19,2805.37
3/28/19,2815.44
3/29/19,2834.4
3/30/19,2834.4
3/31/19,2834.4
4/1/19,2867.19
4/2/19,2867.24
4/3/19,2873.4
4/4/19,2879.39
4/5/19,2892.74
4/6/19,2892.74
4/7/19,2892.74
4/8/19,2895.77
4/9/19,2878.2
4/10/19,2888.21
4/11/19,2888.32
4/12/19,2907.41
4/13/19,2907.41
4/14/19,2907.41
4/15/19,2905.58
4/16/19,2907.06
4/17/19,2900.45
4/18/19,2905.03
4/19/19,2905.03
4/20/19,2905.03
4/21/19,2905.03
4/22/19,2907.97
4/23/19,2933.68
4/24/19,2927.25
4/25/19,2926.17
4/26/19,2939.88
4/27/19,2939.88
4/28/19,2939.88
4/29/19,2943.03
4/30/19,2945.83
5/1/19,2923.73
5/2/19,2917.52
5/3/19,2945.64
5/4/19,2945.64
5/5/19,2945.64
5/6/19,2932.47
5/7/19,2884.05
5/8/19,2879.42
5/9/19,2870.72
5/10/19,2881.4
5/11/19,2881.4
5/12/19,2881.4
5/13/19,2811.87
5/14/19,2834.41
5/15/19,2850.96
5/16/19,2876.32
5/17/19,2859.53
5/18/19,2859.53
5/19/19,2859.53
5/20/19,2840.23
5/21/19,2864.36
5/22/19,2856.27
5/23/19,2822.24
5/24/19,2826.06
5/25/19,2826.06
5/26/19,2826.06
5/27/19,2826.06
5/28/19,2802.39
5/29/19,2783.02
5/30/19,2788.86
5/31/19,2752.06
6/1/19,2752.06
6/2/19,2752.06
6/3/19,2744.45
6/4/19,2803.27
6/5/19,2826.15
6/6/19,2843.49
6/7/19,2873.34
6/8/19,2873.34
6/9/19,2873.34
6/10/19,2886.73
6/11/19,2885.72
6/12/19,2879.84
6/13/19,2891.64
6/14/19,2886.98
6/15/19,2886.98
6/16/19,2886.98
6/17/19,2889.67
6/18/19,2917.75
6/19/19,2926.46
6/20/19,2954.18
6/21/19,2950.46
6/22/19,2950.46
6/23/19,2950.46
6/24/19,2945.35
6/25/19,2917.38
6/26/19,2913.78
6/27/19,2924.92
6/28/19,2941.76
6/29/19,2941.76
6/30/19,2941.76
7/1/19,2964.33
7/2/19,2973.01
7/3/19,2995.82
7/4/19,2995.82
7/5/19,2990.41
7/6/19,2990.41
7/7/19,2990.41
7/8/19,2975.95
7/9/19,2979.63
7/10/19,2993.07
7/11/19,2999.91
7/12/19,3013.77
7/13/19,3013.77
7/14/19,3013.77
7/15/19,3014.3
7/16/19,3004.04
7/17/19,2984.42
7/18/19,2995.11
7/19/19,2976.61
7/20/19,2976.61
7/21/19,2976.61
7/22/19,2985.03
7/23/19,3005.47
7/24/19,3019.56
7/25/19,3003.67
7/26/19,3025.86
7/27/19,3025.86
7/28/19,3025.86
7/29/19,3020.97
7/30/19,3013.18
7/31/19,2980.38
8/1/19,2953.56
8/2/19,2932.05
8/3/19,2932.05
8/4/19,2932.05
8/5/19,2844.74
8/6/19,2881.77
8/7/19,2883.98
8/8/19,2938.09
8/9/19,2918.65
8/10/19,2918.65
8/11/19,2918.65
8/12/19,2883.75
8/13/19,2926.32
8/14/19,2840.6
8/15/19,2847.6
8/16/19,2888.68
8/17/19,2888.68
8/18/19,2888.68
8/19/19,2923.65
8/20/19,2900.51
8/21/19,2924.43
8/22/19,2922.95
8/23/19,2847.11
8/24/19,2847.11
8/25/19,2847.11
8/26/19,2878.38
8/27/19,2869.16
8/28/19,2887.94
8/29/19,2924.58
8/30/19,2926.46
8/31/19,2926.46
9/1/19,2926.46
9/2/19,2926.46
9/3/19,2906.27
9/4/19,2937.78
9/5/19,2976
9/6/19,2978.71
9/7/19,2978.71
9/8/19,2978.71
9/9/19,2978.43
9/10/19,2979.39
9/11/19,3000.93
9/12/19,3009.57
9/13/19,3007.39
9/14/19,3007.39
9/15/19,3007.39
9/16/19,2997.96
9/17/19,3005.7
9/18/19,3006.73
9/19/19,3006.79
9/20/19,2992.07
9/21/19,2992.07
9/22/19,2992.07
9/23/19,2991.78
9/24/19,2966.6
9/25/19,2984.87
9/26/19,2977.62
9/27/19,2961.79
9/28/19,2961.79
9/29/19,2961.79
9/30/19,2976.74
10/1/19,2940.25
10/2/19,2887.61
10/3/19,2910.63
10/4/19,2952.01
10/5/19,2952.01
10/6/19,2952.01
10/7/19,2938.79
10/8/19,2893.06
10/9/19,2919.4
10/10/19,2938.13
10/11/19,2970.27
10/12/19,2970.27
10/13/19,2970.27
10/14/19,2966.15
10/15/19,2995.68
10/16/19,2989.69
10/17/19,2997.95
10/18/19,2986.2
10/19/19,2986.2
10/20/19,2986.2
10/21/19,3006.72
10/22/19,2995.99
10/23/19,3004.52
10/24/19,3010.29
10/25/19,3022.55
10/26/19,3022.55
10/27/19,3022.55
10/28/19,3039.42
10/29/19,3036.89
10/30/19,3046.77
10/31/19,3037.56
11/1/19,3066.91
11/2/19,3066.91
11/3/19,3066.91
11/4/19,3078.27
11/5/19,3074.62
11/6/19,3076.78
11/7/19,3085.18
11/8/19,3093.08
11/9/19,3093.08
11/10/19,3093.08
11/11/19,3087.01
11/12/19,3091.84
11/13/19,3094.04
11/14/19,3096.63
11/15/19,3120.46
11/16/19,3120.46
11/17/19,3120.46
11/18/19,3122.03
11/19/19,3120.18
11/20/19,3108.46
11/21/19,3103.54
11/22/19,3110.29
11/23/19,3110.29
11/24/19,3110.29
11/25/19,3133.64
11/26/19,3140.52
11/27/19,3153.63
11/28/19,3153.63
11/29/19,3140.98
11/30/19,3153.63
12/1/19,3153.63
12/2/19,3113.87
12/3/19,3093.2
12/4/19,3112.76
12/5/19,3117.43
12/6/19,3145.91
12/7/19,3145.91
12/8/19,3145.91
12/9/19,3135.96
12/10/19,3132.52
12/11/19,3141.63
12/12/19,3168.57
12/13/19,3168.8
12/14/19,3168.8
12/15/19,3168.8
12/16/19,3191.45
12/17/19,3192.52
12/18/19,3191.14
12/19/19,3205.37
12/20/19,3221.22
12/21/19,3221.22
12/22/19,3221.22
12/23/19,3224.01
12/24/19,3223.38
12/25/19,3223.38
12/26/19,3239.91
12/27/19,3240.02
12/28/19,3240.02
12/29/19,3240.02
12/30/19,3221.29
12/31/19,3230.78
1/1/20,3230.78
1/2/20,3257.85
1/3/20,3234.85
1/4/20,3234.85
1/5/20,3234.85
1/6/20,3246.28
1/7/20,3237.18
1/8/20,3253.05
1/9/20,3274.7
1/10/20,3265.35
1/11/20,3265.35
1/12/20,3265.35
1/13/20,3288.13
1/14/20,3283.15
1/15/20,3289.29
1/16/20,3316.81
1/17/20,3329.62
1/18/20,3329.62
1/19/20,3329.62
1/20/20,3329.62
1/21/20,3320.79
1/22/20,3321.75
1/23/20,3325.54
1/24/20,3295.47
1/25/20,3295.47
1/26/20,3295.47
1/27/20,3243.63
1/28/20,3276.24
1/29/20,3273.4
1/30/20,3283.66
1/31/20,3225.52
2/1/20,3225.52
2/2/20,3225.52
2/3/20,3248.92
2/4/20,3297.59
2/5/20,3334.69
2/6/20,3345.78
2/7/20,3327.71
2/8/20,3327.71
2/9/20,3327.71
2/10/20,3352.09
2/11/20,3357.75
2/12/20,3379.45
2/13/20,3373.94
2/14/20,3380.16
2/15/20,3380.16
2/16/20,3380.16
2/17/20,3380.16
2/18/20,3370.29
2/19/20,3386.15
2/20/20,3373.23
2/21/20,3337.75
2/22/20,3337.75
2/23/20,3337.75
2/24/20,3225.89
2/25/20,3128.21
2/26/20,3116.39
2/27/20,2978.76
2/28/20,2954.22
2/29/20,2954.22
3/1/20,2954.22
3/2/20,3090.23
3/3/20,3003.37
3/4/20,3130.12
3/5/20,3023.94
3/6/20,2972.37
3/7/20,2972.37
3/8/20,2972.37
3/9/20,2746.56
3/10/20,2882.23
3/11/20,2741.38
3/12/20,2480.64
3/13/20,2711.02
3/14/20,2711.02
3/15/20,2711.02
3/16/20,2529.19
3/17/20,2398.1
3/18/20,2409.39
3/19/20,2304.92
3/20/20,2304.92
3/21/20,2304.92
3/22/20,2304.92
3/23/20,2237.4
3/24/20,2447.33
3/25/20,2475.56
3/26/20,2630.07
3/27/20,2541.47
3/28/20,2541.47
3/29/20,2541.47
3/30/20,2626.65
3/31/20,2584.59
4/1/20,2470.5
4/2/20,2526.9
4/3/20,2488.65
4/4/20,2488.65
4/5/20,2488.65
4/6/20,2663.68
4/7/20,2659.41
4/8/20,2749.98
4/9/20,2789.82
4/10/20,2789.82
4/11/20,2789.82
4/12/20,2789.82
4/13/20,2761.63
4/14/20,2846.06
4/15/20,2783.36
4/16/20,2799.55
4/17/20,2874.56
4/18/20,2874.56
4/19/20,2874.56
4/20/20,2823.16
4/21/20,2736.56
4/22/20,2799.31
4/23/20,2797.8
4/24/20,2836.74
4/25/20,2836.74
4/26/20,2836.74
4/27/20,2878.48
4/28/20,2863.39
4/29/20,2939.51
4/30/20,2912.43
5/1/20,2830.71
5/2/20,2830.71
5/3/20,2830.71
5/4/20,2842.74
5/5/20,2868.44
5/6/20,2848.42
5/7/20,2881.19
5/8/20,2929.8
5/9/20,2929.8
5/10/20,2929.8
5/11/20,2930.32
5/12/20,2870.12
5/13/20,2820
5/14/20,2852.5
5/15/20,2863.7
5/16/20,2863.7
5/17/20,2863.7
5/18/20,2953.91
5/19/20,2922.94
5/20/20,2971.61
5/21/20,2948.51
5/22/20,2955.45
5/23/20,2955.45
5/24/20,2955.45
5/25/20,2955.45
5/26/20,2991.77
5/27/20,3036.13
5/28/20,3029.73
5/29/20,3044.31
5/30/20,3044.31
5/31/20,3044.31
6/1/20,3055.73
6/2/20,3080.82
6/3/20,3122.87
6/4/20,3112.35
6/5/20,3193.93
6/6/20,3193.93
6/7/20,3193.93
6/8/20,3232.39
6/9/20,3207.18
6/10/20,3190.14
6/11/20,3002.1
6/12/20,3041.31
6/13/20,3041.31
6/14/20,3041.31
6/15/20,3066.59
6/16/20,3124.74
6/17/20,3113.49
6/18/20,3115.34
6/19/20,3097.74
6/20/20,3097.74
6/21/20,3097.74
6/22/20,3117.86
6/23/20,3131.29
6/24/20,3050.33
6/25/20,3083.76
6/26/20,3009.05
6/27/20,3009.05
6/28/20,3009.05
6/29/20,3053.24
6/30/20,3100.29
7/1/20,3115.86
7/2/20,3130.01
7/3/20,3130.01
7/4/20,3130.01
7/5/20,3179.72
7/6/20,3145.32
7/7/20,3169.94
7/8/20,3152.05
7/9/20,3185.04
7/10/20,3185.04
7/11/20,3185.04
7/12/20,3185.04
7/13/20,3155.22
7/14/20,3197.52
7/15/20,3226.56
7/16/20,3215.57
7/17/20,3224.73
7/18/20,3224.73
7/19/20,3224.73
7/20/20,3251.84
7/21/20,3257.3
7/22/20,3276.02
7/23/20,3235.66
7/24/20,3215.63
7/25/20,3215.63
7/26/20,3215.63
7/27/20,3239.41
7/28/20,3218.44
7/29/20,3258.44
7/30/20,3246.22
7/31/20,3271.12
8/1/20,3271.12
8/2/20,3271.12
8/3/20,3294.61
8/4/20,3306.51
8/5/20,3327.77
8/6/20,3349.16
8/7/20,3351.28
8/8/20,3351.28
8/9/20,3351.28
8/10/20,3360.47
8/11/20,3333.69
8/12/20,3380.35
8/13/20,3373.43
8/14/20,3372.85
8/15/20,3372.85
8/16/20,3372.85
8/17/20,3381.99
8/18/20,3389.78
8/19/20,3374.85
8/20/20,3385.51
8/21/20,3397.16
8/22/20,3397.16
8/23/20,3397.16
8/24/20,3431.28
8/25/20,3443.62
8/26/20,3478.73
8/27/20,3484.55
8/28/20,3508.01
8/29/20,3508.01
8/30/20,3508.01
8/31/20,3500.31
9/1/20,3526.65
9/2/20,3580.84
9/3/20,3455.06
9/4/20,3426.96
9/5/20,3426.96
9/6/20,3426.96
9/7/20,3426.96
9/8/20,3331.84
9/9/20,3398.96
9/10/20,3339.19
9/11/20,3340.97
9/12/20,3340.97
9/13/20,3340.97
9/14/20,3383.54
9/15/20,3401.2
9/16/20,3385.49
9/17/20,3357.01
9/18/20,3319.47
9/19/20,3319.47
9/20/20,3319.47
9/21/20,3281.06
9/22/20,3315.57
9/23/20,3236.92
9/24/20,3246.59
9/25/20,3298.46
9/26/20,3298.46
9/27/20,3298.46
9/28/20,3351.6
9/29/20,3335.47
9/30/20,3363
10/1/20,3380.8
10/2/20,3348.44
10/3/20,3348.44
10/4/20,3348.44
10/5/20,3408.63
10/6/20,3360.95
10/7/20,3419.45
10/8/20,3446.83
10/9/20,3477.13
10/10/20,3477.13
10/11/20,3477.13
10/12/20,3534.22
10/13/20,3511.93
10/14/20,3488.67
10/15/20,3483.34
10/16/20,3483.81
10/17/20,3483.81
10/18/20,3483.81
10/19/20,3426.92
10/20/20,3443.12
10/21/20,3435.56
10/22/20,3453.49
10/23/20,3465.39
10/24/20,3465.39
10/25/20,3465.39
10/26/20,3400.97
10/27/20,3390.68
10/28/20,3271.03
10/29/20,3310.11
10/30/20,3269.96
10/31/20,3269.96
11/1/20,3269.96
11/2/20,3310.24
11/3/20,3369.16
11/4/20,3443.44
11/5/20,3510.45
11/6/20,3509.44
11/7/20,3509.44
11/8/20,3509.44
11/9/20,3550.5
11/10/20,3545.53
11/11/20,3572.66
11/12/20,3537.01
11/13/20,3585.15
11/14/20,3585.15
11/15/20,3585.15
11/16/20,3585.15
11/17/20,3585.15
11/18/20,3609.53
11/19/20,3567.79
11/20/20,3581.87
11/21/20,3557.54
11/22/20,3557.54
11/23/20,3577.59
11/24/20,3635.41
11/25/20,3629.65
11/26/20,3629.65
11/27/20,3629.65
11/28/20,3629.65
11/29/20,3629.65
11/30/20,3621.63
12/1/20,3662.45
12/2/20,3669.01
12/3/20,3666.72
12/4/20,3699.12
12/5/20,3699.12
12/6/20,3699.12
12/7/20,3691.96
12/8/20,3702.25
12/9/20,3672.82
12/10/20,3668.1
12/11/20,3663.46
12/12/20,3663.46
12/13/20,3663.46
12/14/20,3647.49
12/15/20,3694.62
12/16/20,3701.17
12/17/20,3722.48
12/18/20,3709.41
12/19/20,3709.41
12/20/20,3709.41
12/21/20,3694.92
12/22/20,3687.26
12/23/20,3690.01
12/24/20,3703.06
12/25/20,3703.06
12/26/20,3703.06
12/27/20,3703.06
12/28/20,3735.36
12/29/20,3727.04
12/30/20,3732.04
12/31/20,3756.07
1/1/21,3756.07
1/2/21,3756.07
1/3/21,3756.07
1/4/21,3700.65
1/5/21,3726.86
1/6/21,3748.14
1/7/21,3803.79
1/8/21,3824.68
1/9/21,3824.68
1/10/21,3824.68
1/11/21,3799.61
1/12/21,3801.19
1/13/21,3809.84
1/14/21,3795.54
1/15/21,3768.25
1/16/21,3768.25
1/17/21,3768.25
1/18/21,3768.25
1/19/21,3798.91
1/20/21,3851.85
1/21/21,3853.07
1/22/21,3841.47
1/23/21,3841.47
1/24/21,3841.47
1/25/21,3855.36
1/26/21,3849.62
1/27/21,3750.77
1/28/21,3787.38
1/29/21,3714.24
1/30/21,3714.24
1/31/21,3714.24
2/1/21,3773.86
2/2/21,3826.31
2/3/21,3830.17
2/4/21,3871.74
2/5/21,3886.83
2/6/21,3886.83
2/7/21,3886.83
2/8/21,3915.59
2/9/21,3911.23
2/10/21,3909.88
2/11/21,3916.38
2/12/21,3934.83
2/13/21,3934.83
2/14/21,3934.83
2/15/21,3934.83
2/16/21,3932.59
2/17/21,3931.33
2/18/21,3913.97
2/19/21,3906.71
2/20/21,3906.71
2/21/21,3906.71
2/22/21,3906.71
2/23/21,3881.37
2/24/21,3925.43
2/25/21,3829.34
2/26/21,3811.15
2/27/21,3811.15
2/28/21,3811.15
3/1/21,3901.82
3/2/21,3870.29
3/3/21,3819.72
3/4/21,3768.47
3/5/21,3841.94
3/6/21,3841.94
3/7/21,3841.94
3/8/21,3821.35
3/9/21,3875.44
3/10/21,3898.81
3/11/21,3939.34
3/12/21,3943.34
3/13/21,3943.34
3/14/21,3943.34
3/15/21,3968.94
3/16/21,3962.71
3/17/21,3974.12
3/18/21,3915.46
3/19/21,3913.1
3/20/21,3913.1
3/21/21,3913.1
3/22/21,3940.59
3/23/21,3910.52
3/24/21,3889.14
3/25/21,3909.52
3/26/21,3974.54
3/27/21,3974.54
3/28/21,3974.54
3/29/21,3971.09
3/30/21,3958.55
3/31/21,3972.89
4/1/21,4019.87
4/2/21,4019.87
4/3/21,4019.87
4/4/21,4019.87
4/5/21,4077.91
4/6/21,4073.94
4/7/21,4079.95
4/8/21,4097.17
4/9/21,4128.8
4/10/21,4128.8
4/11/21,4128.8
4/12/21,4127.99
4/13/21,4141.59
4/14/21,4124.66
4/15/21,4170.42
4/16/21,4185.47
4/17/21,4185.47
4/18/21,4185.47
4/19/21,4163.26
4/20/21,4134.94
4/21/21,4173.42
4/22/21,4134.98
4/23/21,4180.17
4/24/21,4180.17
4/25/21,4180.17
4/26/21,4187.62
4/27/21,4186.72
4/28/21,4183.18
4/29/21,4211.47
4/30/21,4181.17
5/1/21,4181.17
5/2/21,4181.17
5/3/21,4192.66
5/4/21,4164.66
5/5/21,4167.59
5/6/21,4201.62
5/7/21,4232.6
5/8/21,4232.6
5/9/21,4232.6
5/10/21,4188.43
5/11/21,4152.1
5/12/21,4063.04
5/13/21,4112.5
5/14/21,4173.85
5/15/21,4173.85
5/16/21,4173.85
5/17/21,4163.29
5/18/21,4127.83
5/19/21,4115.68
5/20/21,4159.12
5/21/21,4155.86
5/22/21,4155.86
5/23/21,4155.86
5/24/21,4197.05
5/25/21,4188.13
5/26/21,4195.99
5/27/21,4200.88
5/28/21,4204.11
5/29/21,4204.11
5/30/21,4204.11
5/31/21,4204.11
6/1/21,4202.04
6/2/21,4208.12
6/3/21,4192.85
6/4/21,4229.89
6/5/21,4229.89
6/6/21,4229.89
6/7/21,4226.52
6/8/21,4227.26
6/9/21,4219.55
6/10/21,4239.18
6/11/21,4247.44
6/12/21,4247.44
6/13/21,4247.44
6/14/21,4255.15
6/15/21,4246.59
6/16/21,4223.7
6/17/21,4221.86
6/18/21,4166.45
6/19/21,4166.45
6/20/21,4166.45
6/21/21,4224.79
6/22/21,4246.44
6/23/21,4241.84
6/24/21,4266.49
6/25/21,4280.7
6/26/21,4280.7
6/27/21,4280.7
6/28/21,4290.61
6/29/21,4291.8
6/30/21,4297.5
7/1/21,4319.94
7/2/21,4352.34
7/3/21,4352.34
7/4/21,4352.34
7/5/21,4352.34
7/6/21,4343.54
7/7/21,4358.13
7/8/21,4320.82
7/9/21,4369.55
7/10/21,4369.55
7/11/21,4369.55
7/12/21,4384.63
7/13/21,4369.21
7/14/21,4374.3
7/15/21,4360.03
7/16/21,4327.16
7/17/21,4327.16
7/18/21,4327.16
7/19/21,4258.49
7/20/21,4323.06
7/21/21,4358.69
7/22/21,4367.48
7/23/21,4411.79
7/24/21,4411.79
7/25/21,4411.79
7/26/21,4422.3
7/27/21,4401.46
7/28/21,4400.64
7/29/21,4419.15
7/30/21,4395.26
7/31/21,4395.26
8/1/21,4395.26
8/2/21,4387.16
8/3/21,4423.15
8/4/21,4402.66
8/5/21,4429.1
8/6/21,4436.52
8/7/21,4436.52
8/8/21,4436.52
8/9/21,4432.35
8/10/21,4436.75
8/11/21,4447.7
8/12/21,4460.83
8/13/21,4468
8/14/21,4468
8/15/21,4468
8/16/21,4479.71
8/17/21,4448.08
8/18/21,4400.27
8/19/21,4405.8
8/20/21,4441.67
8/21/21,4441.67
8/22/21,4441.67
8/23/21,4479.53
8/24/21,4486.23
8/25/21,4496.19
8/26/21,4470
8/27/21,4509.37
8/28/21,4509.37
8/29/21,4509.37
8/30/21,4528.79
8/31/21,4522.68
9/1/21,4524.09
9/2/21,4536.95
9/3/21,4535.43
9/4/21,4535.43
9/5/21,4535.43
9/6/21,4535.43
9/7/21,4520.03
9/8/21,4514.07
9/9/21,4493.28
9/10/21,4458.58
9/11/21,4458.58
9/12/21,4458.58
9/13/21,4468.73
9/14/21,4443.05
9/15/21,4480.7
9/16/21,4473.75
9/17/21,4432.99
9/18/21,4432.99
9/19/21,4432.99
9/20/21,4357.73
9/21/21,4354.19
9/22/21,4395.64
9/23/21,4448.98
9/24/21,4455.48
9/25/21,4455.48
9/26/21,4455.48
9/27/21,4443.11
9/28/21,4352.63
9/29/21,4359.46
9/30/21,4307.54
10/1/21,4357.04
10/2/21,4300.46
10/3/21,4345.72
10/4/21,4363.55
10/5/21,4399.76
10/6/21,4391.34
10/7/21,4391.34
10/8/21,4391.34
10/9/21,4391.34
10/10/21,4391.34
10/11/21,4361.19
10/12/21,4350.65
10/13/21,4363.8
10/14/21,4438.26
10/15/21,4471.37
10/16/21,4471.37
10/17/21,4471.37
10/18/21,4486.46
10/19/21,4519.63
10/20/21,4536.19
10/21/21,4549.78
10/22/21,4544.9
10/23/21,4544.9
10/24/21,4544.9
10/25/21,4566.48
10/26/21,4574.79
10/27/21,4551.68
10/28/21,4596.42
10/29/21,4605.38
10/30/21,4605.38